Serial	Description	Category
n03151077	"curtain, drape, drapery, mantle, pall"	n02851099
n03188531	"diaper, nappy, napkin"	n03419014
n03206718	disguise	n02756098
n03213538	distributor cap	n02955065
n03213715	distributor housing	n03546766
n03216402	"diving suit, diving dress"	n04015204
n03220095	dolman sleeve	n04236377
n03220513	dome	n04105068
n03223299	"doormat, welcome mat"	n03727837
n03236735	"dress, frock"	n04596852
n03237416	"dress hat, high hat, opera hat, silk hat, stovepipe, top hat, topper, beaver"	n03746330
n03248835	drugget	n04118021
n03263338	"ecclesiastical attire, ecclesiastical robe"	n02756098
n03268645	elbow pad	n04015204
n03314378	face mask	n03725035
n03315805	facing	n03673767
n03329536	"ferrule, collet"	n02955065
n03340923	finery	n02756098
n03342432	"fingerstall, cot"	n04187061
n03347037	"fire screen, fireguard"	n04151581
n03353951	fixative	n04521987
n03364156	"flipper, fin"	n04199027
n03374102	flying carpet	n04118021
n03384891	"formalwear, eveningwear, evening dress, evening clothes"	n02756098
n03386870	foul-weather gear	n04015204
n03404149	fur	n03419014
n03404900	"furnace lining, refractory"	n03673767
n03405595	"furnishing, trappings"	n02671780
n03406759	fur-piece	n03815482
n03409591	"gable roof, saddle roof, saddleback, saddleback roof"	n04105068
n03411079	gaiter	n04199027
n03424325	"gasmask, respirator, gas helmet"	n03725035
n03436290	"ghillie, gillie"	n04199027
n03441112	glove	n03490324
n03445326	gold plate	n03963028
n03448696	gossamer	n03429914
n03450516	"gown, robe"	n03859495
n03450734	"gown, surgical gown, scrubs"	n03419014
n03464053	"G-string, thong"	n04596852
n03472535	"gym shoe, sneaker, tennis shoe"	n04199027
n03473966	habit	n02756098
n03474167	"habit, riding habit"	n02756098
n03475421	"haik, haick"	n03419014
n03476083	"hairpiece, false hair, postiche"	n02756098
n03477512	half binding	n02840619
n03487642	hand-me-down	n03419014
n03497657	"hat, chapeau, lid"	n03502509
n03502331	"head covering, veil"	n03419014
n03507458	hearthrug	n04118021
n03513137	helmet	n03502509
n03516844	"Hessian boot, hessian, jackboot, Wellington, Wellington boot"	n02872752
n03521544	"hip boot, thigh boot"	n02872752
n03521771	hip pad	n04015204
n03522100	"hip roof, hipped roof"	n04105068
n03527444	holster	n04187061
n03531281	hood	n03502509
n03531447	hood	n04105438
n03540090	hose	n03419014
n03540267	"hosiery, hose"	n03381126
n03546235	housetop	n04105068
n03548086	hubcap	n02955065
n03593222	japan	n03631811
n03597317	"jewelled headdress, jeweled headdress"	n03502509
n03602790	journal box	n03546766
n03605504	jump suit	n04509592
n03605598	"jump suit, jumpsuit"	n03419014
n03607186	kaffiyeh	n03502509
n03608504	kanzu	n03419014
n03623198	knee pad	n04015204
n03629100	Kurdistan	n04118021
n03637027	"lamp house, lamphouse, lamp housing"	n03546766
n03637318	"lampshade, lamp shade"	n04181718
n03642444	lapel	n03641706
n03642716	lappet	n03641706
n03652729	lean-to	n04191943
n03655072	"legging, leging, leg covering"	n03419014
n03657121	"lens cap, lens cover"	n02955065
n03657511	"leotard, unitard, body suit, cat suit"	n03419014
n03679174	livery	n04509592
n03680355	Loafer	n04199027
n03688405	long sleeve	n04236377
n03692004	lounger	n03692379
n03692136	"lounging jacket, smoking jacket"	n03692379
n03692272	"lounging pajama, lounging pyjama"	n03692379
n03731483	mattress cover	n02820210
n03745487	mending	n03419014
n03763968	military uniform	n04509592
n03773970	"miter, mitre"	n03502509
n03776877	"moccasin, mocassin"	n04199027
n03786194	morning dress	n02756098
n03788365	mosquito net	n04151581
n03789794	motley	n03419014
n03796974	muff	n03490324
n03797264	mufti	n03036469
n03798061	"mule, scuff"	n04241394
n03816005	neckwear	n03419014
n03817647	"negligee, neglige, peignoir, wrapper, housecoat"	n04596852
n03824999	nightshirt	n03825080
n03825788	nipple	n02954938
n03825913	nipple shield	n04192858
n03835729	"numdah, numdah rug, nammad"	n04118021
n03859958	"outfit, getup, rig, turnout"	n02756098
n03863108	overall	n04600912
n03863923	"overgarment, outer garment"	n03419014
n03868406	oxford	n04199027
n03877472	"pajama, pyjama, pj's, jammies"	n03825080
n03879116	"pall, shroud, cerement, winding-sheet, winding-clothes"	n02922159
n03885293	"pant leg, trouser leg"	n03654576
n03889871	"parasol, sunshade"	n04181718
n03913930	"peplos, peplus, peplum"	n03419014
n03920384	petrolatum gauze	n03430091
n03959701	"plate, scale, shell"	n04192858
n03993403	"poultice, cataplasm, plaster"	n03237639
n03998194	"prayer rug, prayer mat"	n04118021
n04001845	pressure suit	n04015204
n04022332	pump	n04199027
n04033995	"quilt, comforter, comfort, puff"	n02820210
n04041243	radiator cap	n02954938
n04045255	"radome, radar dome"	n03546766
n04046277	raglan	n03419014
n04046400	raglan sleeve	n04236377
n04064307	record jacket	n03590306
n04066270	red carpet	n04118021
n04085574	reversible	n03419014
n04085873	"revetment, revetement, stone facing"	n03315644
n04089666	riding boot	n02872752
n04097866	robe	n03419014
n04104770	"romper, romper suit"	n03419014
n04107984	roost	n04191943
n04116294	"rubber boot, gum boot"	n02872752
n04120266	runner	n04118021
n04120489	running shoe	n04199027
n04122578	"sabot, wooden shoe"	n04199027
n04123317	sackcloth	n03419014
n04133789	sandal	n04199027
n04135710	"cling film, clingfilm, Saran Wrap"	n03958752
n04141327	scabbard	n04187061
n04143492	"scapular, scapulary"	n03419014
n04143897	scarf	n03419014
n04144539	"scatter rug, throw rug"	n04118021
n04160261	sealskin	n03419014
n04172776	sentry box	n04191943
n04172904	separate	n03419014
n04183217	shag rug	n04118021
n04190747	"shell, case, casing"	n03546766
n04191150	"shellac, shellac varnish"	n04521987
n04192698	"shield, buckler"	n02739668
n04193035	shielding	n04192858
n04193179	shielding	n04192858
n04194127	"shin guard, shinpad"	n04015204
n04197391	shirt	n03419014
n04198355	shirtsleeve	n04236377
n04205505	short sleeve	n04236377
n04207903	shoulder pad	n04015204
